week	species	block	basin	growth
1	A	block1	basin1	5
1	D	block1	basin2	5.86
1	B	block1	basin3	5.82
1	C	block1	basin4	5.65
1	C	block2	basin5	5.39
1	A	block2	basin6	4.42
1	B	block2	basin7	5.73
1	D	block2	basin8	5.82
1	A	block3	basin9	4.42
1	B	block3	basin10	5.31
1	C	block3	basin11	5.15
1	D	block3	basin12	5.26
1	A	block4	basin13	4.01
1	C	block4	basin14	4.5
1	D	block4	basin15	4.87
1	B	block4	basin16	4.92
1	D	block5	basin17	3.96
1	C	block5	basin18	3.75
1	B	block5	basin19	3.96
1	A	block5	basin20	3.36
2	A	block1	basin1	4.84
2	D	block1	basin2	5.6
2	B	block1	basin3	5.6
2	C	block1	basin4	5.97
2	C	block2	basin5	5.49
2	A	block2	basin6	4.3
2	B	block2	basin7	5.59
2	D	block2	basin8	5.55
2	A	block3	basin9	4.1
2	B	block3	basin10	5.19
2	C	block3	basin11	5.28
2	D	block3	basin12	5.06
2	A	block4	basin13	3.89
2	C	block4	basin14	4.89
2	D	block4	basin15	4.75
2	B	block4	basin16	4.66
2	D	block5	basin17	3.76
2	C	block5	basin18	3.74
2	B	block5	basin19	3.86
2	A	block5	basin20	3.1
3	A	block1	basin1	4.02
3	D	block1	basin2	5.37
3	B	block1	basin3	5.05
3	C	block1	basin4	5.27
3	C	block2	basin5	5.08
3	A	block2	basin6	3.67
3	B	block2	basin7	5
3	D	block2	basin8	5.29
3	A	block3	basin9	3.46
3	B	block3	basin10	4.86
3	C	block3	basin11	4.93
3	D	block3	basin12	4.76
3	A	block4	basin13	3.21
3	C	block4	basin14	4.74
3	D	block4	basin15	4.55
3	B	block4	basin16	4.56
3	D	block5	basin17	3.56
3	C	block5	basin18	3.55
3	B	block5	basin19	3.5
3	A	block5	basin20	2.67
4	A	block1	basin1	3.75
4	D	block1	basin2	5
4	B	block1	basin3	4.72
4	C	block1	basin4	5.07
4	C	block2	basin5	4.87
4	A	block2	basin6	3.23
4	B	block2	basin7	4.65
4	D	block2	basin8	4.95
4	A	block3	basin9	3.09
4	B	block3	basin10	4.44
4	C	block3	basin11	4.67
4	D	block3	basin12	4.48
4	A	block4	basin13	2.89
4	C	block4	basin14	4.49
4	D	block4	basin15	4.33
4	B	block4	basin16	4.16
4	D	block5	basin17	3.18
4	C	block5	basin18	3.28
4	B	block5	basin19	3.13
4	A	block5	basin20	2.47
5	A	block1	basin1	3.13
5	D	block1	basin2	4.37
5	B	block1	basin3	4.46
5	C	block1	basin4	4.52
5	C	block2	basin5	4.32
5	A	block2	basin6	2.83
5	B	block2	basin7	4.42
5	D	block2	basin8	4.07
5	A	block3	basin9	2.82
5	B	block3	basin10	4.22
5	C	block3	basin11	4.15
5	D	block3	basin12	3.94
5	A	block4	basin13	2.56
5	C	block4	basin14	4.1
5	D	block4	basin15	3.83
5	B	block4	basin16	3.99
5	D	block5	basin17	2.96
5	C	block5	basin18	3
5	B	block5	basin19	2.95
5	A	block5	basin20	2.16
