VP,method,room,position,error
1,real,free,r1,-1.2267
2,real,free,r1,-4.0284
3,real,free,r1,-3.5487
4,real,free,r1,-5.5482
5,real,free,r1,-3.2102
6,real,free,r1,-6.0559
7,real,free,r1,-2.5859
8,real,free,r1,-4.1482
9,real,free,r1,-2.2852
10,real,free,r1,-3.4919
1,real,free,r1,-0.62425
2,real,free,r1,-3.9982
3,real,free,r1,-2.0845
4,real,free,r1,-2.1953
5,real,free,r1,-1.2789
6,real,free,r1,0.53816
7,real,free,r1,-1.2171
8,real,free,r1,-2.2328
9,real,free,r1,-1.5278
10,real,free,r1,-1.9671
1,real,free,r1,0.015818
2,real,free,r1,-0.7944
3,real,free,r1,0.76588
4,real,free,r1,0.86665
5,real,free,r1,-1.0798
6,real,free,r1,2.674
7,real,free,r1,-0.89698
8,real,free,r1,-1.456
9,real,free,r1,1.5621
10,real,free,r1,-0.54129
1,real,free,r1,0.37027
2,real,free,r1,0.79131
3,real,free,r1,0.91974
4,real,free,r1,3.1594
5,real,free,r1,1.6964
6,real,free,r1,2.9417
7,real,free,r1,2.1664
8,real,free,r1,-0.58195
9,real,free,r1,4.9132
10,real,free,r1,0.96875
1,real,free,r1,1.6252
2,real,free,r1,2.922
3,real,free,r1,1.5194
4,real,free,r1,3.6158
5,real,free,r1,5.7518
6,real,free,r1,2.9481
7,real,free,r1,2.7699
8,real,free,r1,2.2876
9,real,free,r1,5.3586
10,real,free,r1,2.6537
1,real,free,r2,-5.6497
2,real,free,r2,-2.3778
3,real,free,r2,-3.377
4,real,free,r2,-4.2213
5,real,free,r2,-2.3389
6,real,free,r2,-3.3135
7,real,free,r2,-2.4599
8,real,free,r2,-3.4811
9,real,free,r2,-5.6444
10,real,free,r2,-4.8954
1,real,free,r2,-3.3315
2,real,free,r2,0.49973
3,real,free,r2,-0.28507
4,real,free,r2,-2.8687
5,real,free,r2,-1.7016
6,real,free,r2,-1.3603
7,real,free,r2,-1.6336
8,real,free,r2,-0.85263
9,real,free,r2,-3.9636
10,real,free,r2,0.88775
1,real,free,r2,-0.18902
2,real,free,r2,2.0426
3,real,free,r2,0.098259
4,real,free,r2,-1.849
5,real,free,r2,-0.48211
6,real,free,r2,-0.38296
7,real,free,r2,0.026102
8,real,free,r2,0.057184
9,real,free,r2,-3.6505
10,real,free,r2,1.0969
1,real,free,r2,1.4757
2,real,free,r2,2.3099
3,real,free,r2,0.32139
4,real,free,r2,-0.5385
5,real,free,r2,2.816
6,real,free,r2,2.6281
7,real,free,r2,0.52755
8,real,free,r2,2.3796
9,real,free,r2,-1.2218
10,real,free,r2,1.2305
1,real,free,r2,1.9877
2,real,free,r2,6.0902
3,real,free,r2,0.82266
4,real,free,r2,2.3652
5,real,free,r2,3.4649
6,real,free,r2,13.9702
7,real,free,r2,1.6835
8,real,free,r2,5.3115
9,real,free,r2,3.9025
10,real,free,r2,2.0635
1,real,free,r3,-1.692
2,real,free,r3,-3.7963
3,real,free,r3,-0.15542
4,real,free,r3,-2.7437
5,real,free,r3,-3.7513
6,real,free,r3,-6.9634
7,real,free,r3,-3.0323
8,real,free,r3,-2.8829
9,real,free,r3,-10.3654
10,real,free,r3,-6.4034
1,real,free,r3,-1.6603
2,real,free,r3,-1.2192
3,real,free,r3,0.41171
4,real,free,r3,-1.2251
5,real,free,r3,-2.0823
6,real,free,r3,-4.1523
7,real,free,r3,-0.35001
8,real,free,r3,-2.0429
9,real,free,r3,-0.11823
10,real,free,r3,-1.5595
1,real,free,r3,0.90393
2,real,free,r3,-0.57135
3,real,free,r3,1.169
4,real,free,r3,-1.1979
5,real,free,r3,0.099245
6,real,free,r3,-3.0086
7,real,free,r3,1.2939
8,real,free,r3,0.75019
9,real,free,r3,-0.012118
10,real,free,r3,0.91849
1,real,free,r3,2.0061
2,real,free,r3,0.81443
3,real,free,r3,1.2448
4,real,free,r3,3.1689
5,real,free,r3,0.48899
6,real,free,r3,-2.326
7,real,free,r3,1.6037
8,real,free,r3,1.9769
9,real,free,r3,5.7206
10,real,free,r3,1.1156
1,real,free,r3,5.9888
2,real,free,r3,1.3156
3,real,free,r3,2.1779
4,real,free,r3,9.2117
5,real,free,r3,1.6077
6,real,free,r3,1.8628
7,real,free,r3,2.1047
8,real,free,r3,4.9154
9,real,free,r3,7.3319
10,real,free,r3,7.9234
1,real,beta070,r1,-2.5215
2,real,beta070,r1,-1.8399
3,real,beta070,r1,-1.7748
4,real,beta070,r1,-1.8159
5,real,beta070,r1,-0.67954
6,real,beta070,r1,-3.2291
7,real,beta070,r1,-6.4341
8,real,beta070,r1,-7.2897
9,real,beta070,r1,-6.9345
10,real,beta070,r1,-3.7311
1,real,beta070,r1,-1.9923
2,real,beta070,r1,-1.8026
3,real,beta070,r1,-0.60219
4,real,beta070,r1,-0.44604
